index,page,anchor_y,no,hs_code,sku,code,qty,unit_price,amount,description
147,8,190.55,1570,8536,301011,26,3,14067.57,42202710.0,Sakelar 1 Tombol 1 Arah (Graphite Black)
148,8,220.70,1580,8536,301012,26,500,15668.92,7834460.0,Sakelar 1 Tombol 2 Arah (Graphite Black)
149,8,250.85,1590,8536,301026,26,8,37297.3,298378.4,Sakelar 1 Tombol Intermedia te (Graphite Black)
150,8,281.00,1600,8536,301021,26,3,17533.78,52601340.0,Sakelar 2 Tombol 1 Arah (Graphite Black)
151,8,311.15,1610,8536,301022,26,500,20432.43,10216215.0,Sakelar 2 Tombol 2 Arah (Graphite Black)
152,8,341.30,1620,8536,301031,26,800,26959.46,21567568.0,Sakelar 3 Tombol 1 Arah (Graphite Black)
153,8,371.45,1630,8536,301041,26,800,37297.3,29837840.0,Sakelar 4 Tombol 1 Arah (Graphite Black)
154,8,401.60,1640,8536,301089,,1,18222.97,18222970.0,Stop Kontak Universal Dengan Sakelar
155,8,430.55,1650,8536,306301,26,100,22337.84,2233784.0,Sakelar Bell (Graphite Black)
156,8,459.50,1660,8536,301382B,26,200,25135.14,5027028.0,Stop Kontak Saklar (Graphite Black)
157,8,489.65,1670,8536,301687,26,2,16885.14,33770280.0,Stop Kontak Tipe Schuko (Graphite Black)
158,8,519.80,1680,8536,30E201,26,60,69790.54,4187432.4,Sakelar Pengatur Kipas Angin 200W (Graphite Black)
159,8,548.75,1690,8536,305111S,26,200,26250.0,5250000.0,Outlet TV (Graphite Black)
160,8,577.70,1700,8536,305214S,26,200,27121.62,5424324.0,Outlet Telepon RJ11 (Graphite Black)
161,8,607.85,1710,8536,301080,26,100,35270.27,3527027.0,Stop Kontak Saklar Internasi onal 10A (Graphite Black)
162,8,638.00,1720,8536,301011,44,500,14067.57,7033785.0,Sakelar 1 Tombol 1 Arah (Natural Champagne)
163,8,668.15,1730,8536,301012,44,200,15668.92,3133784.0,Sakelar 1 Tombol 2 Arah (Natural Champagne)
164,8,698.30,1740,8536,301021,44,500,17533.78,8766890.0,Sakelar 2 Tombol 1 Arah (Natural Champagne)
165,8,728.45,1750,8536,30E201,,12,62898.65,754783.8,Sakelar Pengatur Kipas Angin 200W
166,8,758.60,1760,8536,301022,44,200,20432.43,4086486.0,Sakelar 2 Tombol 2 Arah (Natural Champagne)
167,9,69.95,1770,8536,301031,44,400,26959.46,10783784.0,tural Champagne)
168,9,100.10,1780,8536,301041,44,400,37297.3,14918920.0,Sakelar 4 Tombol 1 Arah (Natural Champagne)
169,9,130.25,1790,8536,301042,44,80,45405.41,3632432.8,Sakelar 4 Tombol 2 Arah (Natural Champagne)
170,9,160.40,1800,8536,306301,44,100,22337.84,2233784.0,Sakelar Bell (Natural Champagne)
171,9,197.06,1810,8536,301089,44,400,25114.86,10045944.0,Stop Kontak Universal Dengan Sakelar (Natural Champagne)
172,9,233.72,1820,8536,301687,44,1,16885.14,16885140.0,Stop Kontak Tipe Schuko (Natural Champagne)
173,9,270.39,1830,8536,30E201,44,6,69790.54,418743.24,Sakelar Pengatur Kipas Angin 200W (Natural Champagne)
174,9,307.05,1840,8536,305111S,44,300,26250.0,7875000.0,Outlet TV (Natural Champag ne)
175,9,337.20,1850,8536,305214S,44,200,27121.62,5424324.0,Outlet Telepon RJ11 (Natural Champagne)
176,9,366.15,1860,8536,305111S,,1,19358.0,19358000.0,Outlet TV
177,9,401.61,1870,8536,301080,44,100,35270.27,3527027.0,Stop Kontak Saklar Internasi onal 10A (Natural Champagne)
178,9,437.08,1880,3926,60710-50,,3,1945.95,7005420.0,Inbow Dus
179,9,464.83,1890,3926,S154,,560,12162.16,6810809.6,Penutup Sakelar Tahan Air
180,9,492.59,1900,3926,S155,,300,12810.81,3843243.0,Penutup Stopkontak Anti Air
181,9,521.54,1910,8536,581126,,30,27972.97,839189.1,Sakelar 1 Tombol Intermedia te
182,9,551.69,1920,8536,58E201,,12,77027.03,924324.36,Sakelar Pengatur Kipas Angin 200W
183,9,581.84,1930,8536,581122,61,400,21891.89,8756756.0,Sakelar 2 Tombol 2 Arah (Smoky Grey)
184,9,611.99,1940,8536,581089,61,400,31216.22,12486488.0,Stop Kontak Universal Dengan Sakelar (Smoky Grey)
185,9,642.14,1950,8536,58E201,61,12,81081.08,972972.96,Sakelar Pengatur Kipas Angin 200W (Smoky Grey)
186,9,672.29,1960,8536,581126,26,40,32027.03,1281081.2,Sakelar 1 Tombol Intermedia te (Graphite Black)
187,9,701.24,1970,8536,305214S,,200,20229.73,4045946.0,Outlet Telepon RJ11
188,9,736.71,1980,8536,581146,26,12,60000.0,720000.0,Sakelar 2-Tombol Intermediate (Graphite Black)
189,9,773.37,1990,8536,58E201,26,12,81081.08,972972.96,Sakelar Pengatur Kipas Angin 200W (Graphite Black)
