display_name,party_type,tin_display,country_code,transaction_code,email,address_full,buyer_document,buyer_document_number,buyer_idtku,seller_display_name,seller_internal_party_id__do_not_edit,internal_party_id__do_not_edit
PT. Cardindo Citrabuana,buyer,16564080415000,IDN,4,,GD.JPT I - CARGO AREA BANDARA S.H. PAJANG Blok 00 No.12P RT:000 RW:000 Kel.- Kec.- Kota/Kab.TANGERANG BANTEN 00000,TIN,,,,8da10eef-ea32-45c5-9b82-febbabbb5658,
PT. Internusa Food,buyer,20390613047000,IDN,4,,KAMAL MUARA RAYA Blok - No.40 RT:004 RW:002 Kel.KAMAL MUARA Kec.PENJARINGAN Kota/Kab.JAKARTA UTARA DKI JAKARTA 14470,TIN,,,,8da10eef-ea32-45c5-9b82-febbabbb5658,
PT. Subur Aryaduta Sukses,buyer,747837763028000,IDN,4,,JL.KH HASYIM ASHARI Blok 000 No.71 RT:003 RW:005 Kel.0000 Kec.0000 Kota/Kab.0000 DKI JAKARTA 00000,TIN,,,,8da10eef-ea32-45c5-9b82-febbabbb5658,
PT. Gaya Sukses Mandiri Kaseindo,buyer,22085773631000,IDN,4,,JL MARGOMULYO Blok 00 No.63A RT:000 RW:000 Kel.000 Kec.GREGES Kota/Kab.SURABAYA JAWA TIMUR 00000,TIN,,,,8da10eef-ea32-45c5-9b82-febbabbb5658,
PT. Pusan Manis Mulia,buyer,13301973451000,IDN,4,,"KP. Pasir Randu, Kadu Blok - No.- RT:000 RW:000 Kel.Kadu Kec.Curug Kota/Kab.Tangerang Banten 00000",TIN,,,,8da10eef-ea32-45c5-9b82-febbabbb5658,
PT. Leschaco Logistic Indonesia,buyer,18852772062000,IDN,4,,"SULTAN ISKANDAR MUDA V-TA, PONDOK PINANG Blok 0 No.0 RT:000 RW:000 Kel.0 Kec.0 Kota/Kab.JAKARTA SELATAN DKI JAKARTA 00000",TIN,,,,8da10eef-ea32-45c5-9b82-febbabbb5658,
PT. Globelink Sea And Air Freight Indonesia,buyer,24757551039000,IDN,4,,ARTERI KEDOYA Blok 0 No.1 RT:010 RW:001 Kel.0 Kec.0 Kota/Kab.JAKARTA BARAT DKI JAKARTA 00000,TIN,,,,8da10eef-ea32-45c5-9b82-febbabbb5658,
PT. Indomarsan Utama Internasional,buyer,13651070042000,IDN,4,,"BUGIS RAYA, KEBON BAWANG Blok 0 No.15 RT:001 RW:001 Kel.0 Kec.0 Kota/Kab.JAKARTA UTARA DKI JAKARTA 00000",TIN,,,,8da10eef-ea32-45c5-9b82-febbabbb5658,
PT. Dakota Buana Semesta,buyer,17619628008000,IDN,4,,"JL.RADIN INTEN , RUKO 150 Blok C2 No.150 RT:008 RW:005 Kel.000 Kec.000 Kota/Kab.JAKARTA TIMUR DKI JAKARTA 00000",TIN,,,,8da10eef-ea32-45c5-9b82-febbabbb5658,
PT. Multi Citra Rasa,buyer,704590355407000,IDN,4,,RUKAN EMERALD COMMERCIAL JL. BULEVARD UF NO.018 Blok - No.- RT:000 RW:000 Kel.MARGA MULYA Kec.BEKASI UTARA Kota/Kab.BEKASI JAWA BARAT 00000,TIN,,,,8da10eef-ea32-45c5-9b82-febbabbb5658,
PT. Perfetti Van Melle Indonesia,buyer,10692010057000,IDN,4,,"Jl. Jakarta Bogor KM 47,5 Blok - No.- RT:000 RW:000 Kel.Mekar Kec.Cibinong Kota/Kab.Bogor Jawa Barat 10912",TIN,,,,8da10eef-ea32-45c5-9b82-febbabbb5658,
PT. Aneka Coffee Industry,buyer,10712750057000,IDN,4,,DESA TROSOBO Blok - No.- RT:002 RW:006 Kel.TROSOBO Kec.TAMAN Kota/Kab.SIDOARJO JAWA TIMUR 61257,TIN,,,,8da10eef-ea32-45c5-9b82-febbabbb5658,
PT. Shipco Transport Indonesia,buyer,18701326058000,IDN,4,,Jln. TB Simatupang Blok - No.5 RT:001 RW:007 Kel.Ragunan Kec.Pasar Minggu Kota/Kab.Jakarta Selatan DKI Jakarta 12550,TIN,,,,8da10eef-ea32-45c5-9b82-febbabbb5658,
PT. Dhl Global Forwarding Indonesia,buyer,19579218058000,IDN,4,,"Bandara Soekarno Hatta, Soewarno Business Park Blok A No.08 RT:000 RW:000 Kel.Pajang Kec.Benda Kota/Kab.Tangerang Banten 15126",TIN,,,,8da10eef-ea32-45c5-9b82-febbabbb5658,
PT. Pelopor Pratama Lancar Abadi,buyer,26838474042000,IDN,4,,Jln. Edam II Blok - No.12 RT:003 RW:016 Kel.Kebon Bawang Kec.Tanjung Priok Kota/Kab.Jakarta Utara DKI Jakarta 14320,TIN,,,,8da10eef-ea32-45c5-9b82-febbabbb5658,
PT. Unindo Niaga Pratama,buyer,15621154002000,IDN,4,,JL. RAYA JATINEGARA TIMUR Blok - No.78 RT:000 RW:000 Kel.BALI MESTER Kec.BALI MESTER Kota/Kab.JAKARTA TIMUR DKI JAKARTA 00000,TIN,,,,8da10eef-ea32-45c5-9b82-febbabbb5658,
"PT. Cisarua Mountain Dairy, Tbk",buyer,24057648431000,IDN,4,,KP BABAKAN RAWAHAUR Blok - No.101 RT:005 RW:005 Kel.SENTUL Kec.BABAKAN MADANG Kota/Kab.BOGOR JAWA BARAT 00000,TIN,,,,8da10eef-ea32-45c5-9b82-febbabbb5658,
PT. Revo Print Indonesia,buyer,746390418453000,IDN,4,,RUKO EMERALD AVENUE 1 Blok EA No.A-23 RT:003 RW:007 Kel.- Kec.- Kota/Kab.TANGERANG SELATAN JAWA BARAT 00000,TIN,,,,8da10eef-ea32-45c5-9b82-febbabbb5658,
CV. Duta Surya,buyer,14293062609000,IDN,4,,Rungkut Industri Blok 3 No.29 RT:000 RW:000 Kel.Rungkut Menanggal Kec.Gunung Anyar Kota/Kab.Surabaya Jawa Timur 60293,TIN,,,,8da10eef-ea32-45c5-9b82-febbabbb5658,
PT. Marizarasa Sarimurni,buyer,13542014038000,IDN,4,,JL. RAYA RANGKASBITUNG KM.08 Blok - No.- RT:000 RW:000 Kel.- Kec.JAWILAN Kota/Kab.SERANG BANTEN 00000,TIN,,,,8da10eef-ea32-45c5-9b82-febbabbb5658,
PT. Global International Express,buyer,31000235034000,IDN,4,,TAMAN PALEM LESTARI RUKO PELANGI Blok B No.18 RT:013 RW:008 Kel.CENGKARENG BARAT Kec.- Kota/Kab.JAKARTA BARAT DKI JAKARTA 00000,TIN,,,,8da10eef-ea32-45c5-9b82-febbabbb5658,
PT. Monarre Makmur Abadi,buyer,26079012451000,IDN,4,,JL. BUMI MAS VII KAWAN INDUSTRI CIKUPA MAS Blok - No.3 RT:000 RW:000 Kel.TALAGA Kec.CIKUPA Kota/Kab.TANGERANG JAWA BARAT 00000,TIN,,,,8da10eef-ea32-45c5-9b82-febbabbb5658,
PT. Mero Sekawan Jaya,buyer,18707455415000,IDN,4,,JL.K.H. E.Z. MUTTAQIEN Blok - No.38 RT:004 RW:002 Kel.GEMBOR Kec.PERIUK Kota/Kab.TANGERANG BANTEN 00000,TIN,,,,8da10eef-ea32-45c5-9b82-febbabbb5658,
PT. X Coffee Indonesia,buyer,26952713043000,IDN,4,,"JL.RAYA SENTUL KM 1,5 Blok 0 No.88 RT:004 RW:002 Kel.CIPAMBUAN Kec.BABAKAN MADANG Kota/Kab.KAB.BOGOR JAWA BARAT 00000",TIN,,,,8da10eef-ea32-45c5-9b82-febbabbb5658,
PT. Golden Power Beverages,buyer,849167309225000,IDN,4,,CAMMO INDUSTRIAL PARK G Blok - No.13 RT:000 RW:000 Kel.BALOI PERMAI Kec.BATAM KOTA Kota/Kab.BATAM KEPULAUAN RIAU 00000,TIN,,,,8da10eef-ea32-45c5-9b82-febbabbb5658,
PT. Harapan Surya Lestari,buyer,26566943436002,IDN,4,,"JL. LANBAU, KP. LIO BARU Blok - No.00 RT:003 RW:003 Kel.- Kec.- Kota/Kab.BOGOR JAWA BARAT 00000",TIN,,,,8da10eef-ea32-45c5-9b82-febbabbb5658,
PT. Esatama Prima Sempurna,buyer,823535844085000,IDN,4,,GREEN SEDAYU BIZ PARK DAAN MOGOT 11 BIZ-C3 Blok - No.21 RT:000 RW:000 Kel.KALIDERES Kec.KALIDERES Kota/Kab.JAKARTA BARAT DKI JAKARTA 00000,TIN,,,,8da10eef-ea32-45c5-9b82-febbabbb5658,
PT. Creasindo Megapratama,buyer,28855930085000,IDN,4,,GREEN SEDAYU BIZPARK DAAN MOGOT I Blok 0000 No.108 RT:000 RW:000 Kel.KALIDERES Kec.KALIDERES Kota/Kab.JAKARTA BARAT DKI JAKARTA 11840,TIN,,,,8da10eef-ea32-45c5-9b82-febbabbb5658,
PT. Puyo Indonesia Kreasi,buyer,709100788411000,IDN,4,,RUKO BSD SEKTOR VII Blok C28 No.31 RT:000 RW:000 Kel.LENGKONG GUDANG Kec.SERPONG Kota/Kab.TANGERANG SELATAN BANTEN 15321,TIN,,,,8da10eef-ea32-45c5-9b82-febbabbb5658,
PT. Union Foods,buyer,11204237415000,IDN,4,,"DESA, JATAKE JATI UWUNG TANGERANG BANTEN Blok 000 No.000 RT:000 RW:000 Kel.JATI UWUNG Kec.JATIUWUNG Kota/Kab.TANGERANG BANTEN 15136",TIN,,,,8da10eef-ea32-45c5-9b82-febbabbb5658,
PT. Integrated Healthcare Indonesia,buyer,32304875063000,IDN,4,,K-LINK TOWER LT. 12 ZONA G JL. GATOT SUBROTO KAV. 59A Blok 000 No.000 RT:000 RW:000 Kel.KUNINGAN TIMUR Kec.SETIABUDI Kota/Kab.JAKARTA SELATAN DKI JAKARTA 12950,TIN,,,,8da10eef-ea32-45c5-9b82-febbabbb5658,
PT. Etos Indonusa,buyer,15962855039000,IDN,4,,"JL DAAN MOGOT KM,21 PERGUDANGAN ERAPRIMA Blok H No.018 RT:000 RW:000 Kel.PORIS GAGA Kec.BATU CEPER Kota/Kab.TANGGERANG BANTEN BANTEN 00000",TIN,,,,8da10eef-ea32-45c5-9b82-febbabbb5658,
PT. Intrasindo,buyer,210403770407000,IDN,4,,PERUMAHAN HARAPAN BARU REGENCY Blok C No.1/9 RT:000 RW:000 Kel.KOTA BARU Kec.BEKASI BARAT Kota/Kab.BEKASI JAWA BARAT 17133,TIN,,,,8da10eef-ea32-45c5-9b82-febbabbb5658,
PT. Asia Megatama Sejahtera,buyer,723467627012000,IDN,4,,RUKO NEW JASMINE EXTENTION HA Blok - No.23 RT:000 RW:000 Kel.- Kec.GADING SERPONG Kota/Kab.TANGERANG - 00000,TIN,,,,8da10eef-ea32-45c5-9b82-febbabbb5658,
PT. Abc President Indonesia,buyer,10706414057000,IDN,4,,"EIGHTY EIGHT @KASABLANKA OFFICE TOWER A LT. 31 UNIT A-H, JL. CASABLANCA RAYA KAV 88 Blok 000 No.000 RT:016 RW:005 Kel.MENTENG DALAM Kec.TEBET Kota/Kab.JAKARTA SELATAN DKI JAKARTA 00000",TIN,,,,8da10eef-ea32-45c5-9b82-febbabbb5658,
PT. Unifoods Indonesia,buyer,21930151057000,IDN,4,,JL. JABABEKA IX KAWASAN INDUSTRI JABABEKA Blok E No.18-26 RT:000 RW:000 Kel.- Kec.CIKARANG Kota/Kab.BEKASI JAWA BARAT 17530,TIN,,,,8da10eef-ea32-45c5-9b82-febbabbb5658,
PT. Indesso Culinaroma Internasional,buyer,748084787436000,IDN,4,,JL. ALTERNATIF CIBUBUR KP PASAR Blok - No.- RT:001 RW:004 Kel.- Kec.- Kota/Kab.BOGOR JAWA BARAT 16820,TIN,,,,8da10eef-ea32-45c5-9b82-febbabbb5658,
PT. Neopangan Selaras Indonesia,buyer,316781871451000,IDN,4,,Komp Sentra Niaga Surya Kadu Blok I No.18 RT:001 RW:001 Kel.Kadujaya Kec.Curug Kota/Kab.Tangerang Banten 00000,TIN,,,,8da10eef-ea32-45c5-9b82-febbabbb5658,
PT. Wahana Citra Nabati,buyer,19199025046000,IDN,4,,"GEDUNG SUDIRMAN PLAZA, PLAZA MAREIN LANTAI 12, JL. JEND. SUDIRMAN KAV. 76-78 Blok - No.000 RT:000 RW:000 Kel.- Kec.SETIABUDI Kota/Kab.JAKARTA SELATAN DKI JAKARTA RAYA 12910",TIN,,,,8da10eef-ea32-45c5-9b82-febbabbb5658,
PT. Sarang Sari,buyer,13117569071000,IDN,4,,JL. CIKINI RAYA 77 Blok - No.- RT:000 RW:000 Kel.CIKINI Kec.MENTENG Kota/Kab.JAKARTA PUSAT DKI JAKARTA 10330,TIN,,,,8da10eef-ea32-45c5-9b82-febbabbb5658,
