display_name,party_type,tin_display,country_code,transaction_code,email,address_full,buyer_document,buyer_document_number,buyer_idtku,seller_display_name,seller_internal_party_id__do_not_edit,internal_party_id__do_not_edit
PT. Electronic Sciene Indonesia,buyer,758900039064000,IDN,4,,"WISMA ISKANDARSYAH, JL. ISKANDARSYAH RAYA KAV. 12-14 Blok A No.10 RT:000 RW:000 Kel.MELAWAI Kec.KEBAYORAN BARU Kota/Kab.JAKARTA SELATAN DKI JAKARTA 12160",TIN,,,RITTAL (0314865056071000),a0b73cb6-d7b5-4b93-8233-3b963f145b8e,912397dc-027f-4f7a-912a-2c167f8c007c
PT. Wifa Canata Utama,buyer,314795618403000,IDN,4,,Villa Nusa Indah 3 Blok KJ No.6 RT:005 RW:039 Kel.Bojong Kulur Kec.Gunung Putri Kota/Kab.Bogor Jawa Barat 16969,TIN,,,RITTAL (0314865056071000),a0b73cb6-d7b5-4b93-8233-3b963f145b8e,912397dc-027f-4f7a-912a-2c167f8c007c
PT. Jas Worldwide Indonesia,buyer,28774578058000,IDN,4,,"Menara Anugrah Lt 17 Kantor Taman E.3.3, Jl. DR. IDE ANAK AGUNG GDE AGUNG LOT 8.6-8.7 Blok 000 No.000 RT:000 RW:000 Kel.Kuningan Timur Kec.Setiabudi Kota/Kab.Jakarta Selatan DKI Jakarta 12950",TIN,,,RITTAL (0314865056071000),a0b73cb6-d7b5-4b93-8233-3b963f145b8e,912397dc-027f-4f7a-912a-2c167f8c007c
CV. Munaraya Tehnik,buyer,11091931606000,IDN,4,,Gubeng Kertajaya Blok XI-D No.1 RT:000 RW:000 Kel.Gubeng Kec.gubeng Kota/Kab.Surabaya Jawa Timur 60281,TIN,,,RITTAL (0314865056071000),a0b73cb6-d7b5-4b93-8233-3b963f145b8e,912397dc-027f-4f7a-912a-2c167f8c007c
PT. Ilthabi Mandiri Tehnik,buyer,27240944048001,IDN,4,,Rukan Sunter Permai Jl Danau Sunter Utara Blok B No.1 RT:000 RW:014 Kel.Sunter Agung Kec.Tanjung Priok Kota/Kab.Jakarta Utara DKI Jakarta 14350,TIN,,,RITTAL (0314865056071000),a0b73cb6-d7b5-4b93-8233-3b963f145b8e,912397dc-027f-4f7a-912a-2c167f8c007c
PT. Primaservis Migasindo,buyer,19823178072000,IDN,4,,Jl. Plaju Blok 000 No.06 RT:010 RW:020 Kel.Kebon Melati Kec.Tanah Abang Kota/Kab.Jakarta Pusat DKI Jakarta 10230,TIN,,,RITTAL (0314865056071000),a0b73cb6-d7b5-4b93-8233-3b963f145b8e,912397dc-027f-4f7a-912a-2c167f8c007c
PT. T & T Primatama Engineering,buyer,313145765412000,IDN,4,,JL. RASAMALA Blok 23 No.06 RT:001 RW:010 Kel.Baktijaya Kec.Sukmajaya Kota/Kab.Depok Jawa Barat 16418,TIN,,,RITTAL (0314865056071000),a0b73cb6-d7b5-4b93-8233-3b963f145b8e,912397dc-027f-4f7a-912a-2c167f8c007c
PT. Bika Parama Cipta,buyer,13918339062000,IDN,4,,JL. RS. FATMAWATI V Blok 000 No.72 RT:001 RW:007 Kel.GANDARIA UTARA Kec.KEBAYORAN BARU Kota/Kab.JAKARTA PUSAT DKI JAKARTA 12140,TIN,,,RITTAL (0314865056071000),a0b73cb6-d7b5-4b93-8233-3b963f145b8e,912397dc-027f-4f7a-912a-2c167f8c007c
PT. Granitor Systems Apac,buyer,33185794013000,IDN,4,,TAMAN TEKNO BSD CITY SEKTOR XI Blok 000 No.000 RT:000 RW:000 Kel.SETU Kec.SETU Kota/Kab.TANGERANG SELATAN BANTEN 00000,TIN,,,RITTAL (0314865056071000),a0b73cb6-d7b5-4b93-8233-3b963f145b8e,912397dc-027f-4f7a-912a-2c167f8c007c
PT. Kaldyta Mega Tech,buyer,708532825411000,IDN,4,,RUKO WTC MATAHARI SERPONG Blok 000 No.961 RT:000 RW:000 Kel.PONDOK JAGUNG Kec.SERPONG UTARA Kota/Kab.TANGERANG SELATAN BANTEN 15326,TIN,,,RITTAL (0314865056071000),a0b73cb6-d7b5-4b93-8233-3b963f145b8e,912397dc-027f-4f7a-912a-2c167f8c007c
